Gene,P,Number of variants
SPAM1,0.284853593,2
RSF1,0.284959837,9
TSHZ3,0.285006053,5
ACOX1,0.285088421,7
FOXH1,0.285121623,3
CCDC79,0.285142481,4
SERINC4,0.285208572,2
TMEM40,0.285307741,4
C2orf88,0.285323413,4
ERAL1,0.285446058,2
ASCC1,0.285702074,3
HECTD2,0.286051971,2
CCDC87,0.286149543,5
SLC6A13,0.286191282,17
INPP5D,0.286204902,9
LURAP1L,0.286228306,3
CC2D1B,0.286259087,10
C17orf82,0.286393725,4
OR5T3,0.286484448,2
MAK,0.286538264,10
CRAMP1L,0.286559,3
KIAA1984-AS1,0.286619231,8
CNTN1,0.286680313,5
PCF11,0.286701749,9
ZNF197,0.286705245,8
PRG4,0.28683851,10
OR13C8,0.286910958,8
MS4A6E,0.286973705,3
ZBTB25,0.286997906,9
ALDH18A1,0.287037077,5
ZBBX,0.287055174,9
MUC15,0.287160834,6
RAB11FIP1,0.287281716,13
DNAJC28,0.287396156,9
HAO2,0.287668023,11
APIP,0.287828699,2
ZNF546,0.287859863,4
HPSE2,0.28789268,6
C17orf66,0.288041106,13
USP42,0.288084306,11
STX5,0.288085531,4
B4GALNT1,0.288091336,12
TMPRSS12,0.288272173,6
PCNT,0.288486869,51
DFNA5,0.288609706,6
CRISP1,0.28878985,5
KCNA10,0.288821865,9
RGSL1,0.289053325,8
MRPL43,0.289085502,9
CHIT1,0.289112474,9
TUBE1,0.289121696,7
SPDYC,0.289150244,4
IHH,0.289165952,2
MXRA7,0.289237334,6
TAF1B,0.289250728,10
TIFAB,0.289315861,8
RAD9A,0.289318971,3
LRRN2,0.289457582,8
ZNF141,0.28951436,2
LANCL1,0.289545438,4
ZNF676,0.289565972,3
NR3C1,0.289727027,2
C16orf13,0.289728325,4
FAM47E,0.289739848,11
STBD1,0.289739848,11
CENPT,0.289851296,4
ACTR10,0.289878937,4
ALOX15,0.289980838,11
C13orf33,0.290247856,2
TEX26-AS1,0.290247856,2
CEACAM18,0.290294669,4
C20orf196,0.290344576,3
CCDC19,0.290454277,9
MYLK3,0.290489064,4
NPAS3,0.290512852,6
CCDC150,0.29052383,11
CD5,0.290579166,11
WDR35,0.290582438,12
RRP9,0.290599042,2
KIF5A,0.290602756,2
FAM123C,0.290820645,9
ZNF282,0.290897806,3
EME2,0.291164759,10
CABP2,0.291256486,4
INCA1,0.291279508,4
TPRA1,0.291444822,3
CHST6,0.291528373,5
IFT52,0.291597329,2
FGL1,0.291675939,5
TNFSF10,0.291715667,5
LPAR3,0.29172336,5
STPG2,0.291791051,3
TMEM39A,0.291817592,3
ZBTB49,0.291881326,5
ACAD9,0.292141706,5
ABCD2,0.292274971,3
UNKL,0.292279721,4
PEF1,0.292349002,3
MMP19,0.29246259,6
THUMPD1,0.292464278,4
RCSD1,0.292599057,5
C8orf59,0.292605948,2
BAAT,0.292646572,3
F2R,0.292955239,3
DCP1A,0.292960463,2
OR10R2,0.292974512,9
SEC22B,0.292987151,2
KIF20B,0.293051264,16
BMS1,0.293070824,5
HOOK3,0.293072345,3
SLFN12,0.293121834,4
COL4A2,0.29314446,14
MRPL45,0.293179243,4
FAM212A,0.29331671,3
KAT7,0.293416208,2
UAP1,0.293426039,4
ZNF175,0.29343031,8
SMCR7L,0.293466376,2
PARVB,0.293525481,9
EXOSC10,0.293610384,5
CPN1,0.293618795,2
HIPK2,0.293666429,2
SH2D4A,0.29367217,6
KRT13,0.293730137,7
CAMK4,0.293820752,4
PAPPA,0.293843183,13
ZBTB8A,0.293847035,5
GRIP2,0.293863738,14
C17orf101,0.294157921,2
TP63,0.294161822,2
OR8I2,0.294235387,5
FAM107B,0.294261531,2
GNS,0.294445303,2
ATAD2,0.294516861,8
PTPRN2,0.294527763,13
FGF1,0.294537132,2
DRD4,0.294711282,3
RPUSD4,0.294762936,6
RXFP1,0.294803183,5
ARL2BP,0.294839271,2
WDR91,0.294839694,4
MTERF,0.294991911,7
MRPS6,0.295106236,4
CDC34,0.295157735,2
MRPL52,0.295289806,2
FDPS,0.295397242,2
TM4SF1,0.295414737,2
C9orf11,0.295583413,2
RUSC1,0.296024632,6
SERPINB12,0.296066379,5
LYPD5,0.296121333,4
NDUFA3,0.296132358,4
RAB27A,0.296136803,4
C14orf183,0.296148086,5
CYB561D1,0.296189555,3
TMEM81,0.296240467,5
FCRLB,0.296360972,5
SNX18,0.29650863,2
UFC1,0.2965589,4
ZNF620,0.296586866,6
HAPLN1,0.296675514,3
ZNF573,0.296738291,3
ILF3,0.296776476,5
CNIH2,0.296884571,2
SERPINA11,0.296915957,2
ABCC1,0.2969826,20
APOC3,0.296987139,2
CAMP,0.297008982,3
ECSIT,0.297257357,7
C3orf70,0.297287503,2
SCN2A,0.297308533,4
ZNF235,0.29749203,16
CNOT10-AS1,0.297599668,2
MOCOS,0.297683128,19
ZNF280D,0.297685304,7
SUSD4,0.297788794,7
C1QTNF4,0.297795782,2
SCAF8,0.297862301,6
RPL10L,0.298167404,5
ACOX2,0.298174456,10
GUCY2D,0.298227203,10
MED23,0.298311061,5
SLCO1B3,0.298380327,18
SLCO1B7,0.298380327,18
C10orf32,0.298715036,2
NVL,0.29871853,13
KCNJ5,0.298741273,6
LRP10,0.298770872,8
BOLA1,0.298828813,2
EPHX2,0.298841927,11
WHAMM,0.298978508,7
MSH2,0.299004758,7
PCK2,0.299056202,16
LCNL1,0.299189002,4
PTGDS,0.299189002,4
PIGO,0.299209141,5
MIR3654,0.299247111,5
TUT1,0.299247111,5
TSPYL1,0.299248952,2
ACTRT2,0.299325116,3
ESAM,0.299396548,8
PTPN6,0.299488102,2
RHOH,0.299504748,2
SLC22A18,0.299582538,7
LBX2,0.299644643,3
DPEP3,0.299831002,3
C1orf192,0.300102163,2
STRADA,0.300421393,4
GRHL2,0.300611323,4
FLNC,0.300644396,22
SERPINI1,0.300658863,3
TMEM62,0.300706881,5
EPHB6,0.300744289,8
UTP15,0.300768379,5
CCNT1,0.300927511,3
LRRC36,0.301142336,2
BZRAP1,0.301145369,20
PCCA,0.301256082,6
WTAP,0.3013028,4
HIRIP3,0.301414427,8
LONP2,0.301505085,4
SCN11A,0.301514762,18
KIAA1279,0.301573539,3
SLC1A6,0.301585284,4
PCDHA8,0.301588931,28
ANKRD16,0.301680176,4
FBF1,0.301766453,10
FAM98C,0.301845287,7
TSSK3,0.301846273,5
SDC1,0.301976068,5
ZNF345,0.30201164,5
SLC25A18,0.302072452,3
DAB2,0.302148761,4
TMEM173,0.302349486,10
CC2D1A,0.302514452,8
METTL8,0.302554715,4
GPR3,0.302689876,2
ABCB1,0.302986835,12
GPR31,0.303012957,3
TCP10L2,0.303012957,3
PAK1IP1,0.303041613,3
TMEM42,0.30308898,4
ADCY9,0.303116711,4
FAS,0.30313582,3
EPS8L2,0.303186649,7
LEPREL2,0.303225659,7
SLC12A4,0.303388708,9
SH3GL1,0.303394843,5
PPARA,0.30350948,3
UNC80,0.303552259,8
IL33,0.303829416,3
ZUFSP,0.304095929,4
PTRF,0.304225226,4
CNKSR3,0.30423353,3
SH3BP2,0.304311224,9
CHAMP1,0.304356374,6
OR10AD1,0.304383215,6
LAYN,0.304574912,6
CEP55,0.304591117,8
ERN1,0.304622239,7
MUC17,0.304700563,40
ITGA8,0.304839645,12
SLC25A17,0.304898075,3
FAM63B,0.305011498,8
IRF3,0.305111478,8
SERPINA3,0.305172702,6
HCRTR1,0.305258981,5
RASAL3,0.305369358,5
C14orf180,0.305392505,5
OR5T1,0.305570217,3
SLC44A3,0.30570354,5
ZNF606,0.305916028,4
BBS2,0.305922516,10
POC1A,0.306036354,5
SLC35G5,0.306077145,2
DHX29,0.306243774,5
SSBP4,0.30626951,2
GDNF,0.30637056,2
MYLK,0.306777495,15
FAM188A,0.306959575,3
PNMA2,0.306996831,4
NPHP1,0.307013556,6
LRIT3,0.307193667,4
PPID,0.30727706,2
SLC25A35,0.307680171,5
CD3D,0.307686811,2
LEPREL1,0.307887054,9
RERGL,0.307925976,10
SFRP1,0.307994296,2
ATP6V0E2,0.308055294,4
ATP6V0E2-AS1,0.308055294,4
ERAP1,0.308084649,10
MEX3C,0.308084759,2
FCN3,0.308114612,4
MAP1B,0.308189124,11
XDH,0.308200211,30
NFYC,0.308264126,2
DKK2,0.308348589,3
BAMBI,0.308351924,5
C2orf71,0.308379479,15
FAM210A,0.308418635,3
CIAPIN1,0.308447717,2
RARRES1,0.308589666,4
TMPRSS11A,0.308636534,6
FOXP2,0.308716848,2
GSPT1,0.308754156,2
PDLIM7,0.308755559,8
BFSP1,0.308786922,8
CYP4B1,0.308816586,16
VGF,0.308917114,2
CHRAC1,0.308956153,3
TEX26,0.309187451,2
TRUB1,0.309223001,2
BACE1,0.309433294,2
SLC2A12,0.309436658,3
WDR25,0.309437993,7
OR5K3,0.309493451,7
RORC,0.309629452,3
DDX60L,0.30973872,29
NPEPPS,0.309742427,2
FMNL3,0.310009231,8
LTBP3,0.310207348,6
ATP2C1,0.310271671,4
EPHB3,0.310348827,8
MED17,0.310422194,3
SKAP2,0.310440957,2
EOGT,0.310445855,6
GMPR2,0.310548563,5
CCNDBP1,0.310580696,5
UCP2,0.310635287,4
ARRDC1,0.310718387,5
LETMD1,0.310749137,3
KDM3A,0.310830326,6
COL2A1,0.310907811,7
TMPRSS4,0.310939778,6
SOD2,0.311047559,6
NAPG,0.311101584,4
RHBG,0.31128837,5
OR4S1,0.311548787,5
F13B,0.311587476,5
ZNF596,0.311621139,5
IGSF22,0.311630388,18
CCBE1,0.311646161,7
ADAM7,0.311790916,10
KCNJ16,0.311795543,10
OR5AK2,0.311849463,3
ESRP2,0.311908267,9
CCNI2,0.312011487,2
DCAF12,0.312094742,2
SIGLEC8,0.312161905,2
ZNF346,0.312162317,2
ZNF180,0.312381352,3
DIAPH1,0.312389032,5
RNF144B,0.312392446,4
SLC25A12,0.312496577,4
ARHGAP21,0.312509017,10
ZNF430,0.31253305,3
ZNF571,0.312535362,7
GDAP2,0.312628908,3
LRRC55,0.312632063,2
EGFR,0.3126948,10
CCDC89,0.312776638,2
EGFLAM,0.312827088,10
TBC1D15,0.312866833,3
ZNF831,0.312931293,15
RANBP3L,0.313009339,6
OR2T1,0.313183976,5
ABCB6,0.313189994,12
TGOLN2,0.313305242,2
CLIC6,0.313380758,4
ECH1,0.313523149,4
CACNB2,0.313563909,7
CCDC81,0.313575287,3
ST6GALNAC2,0.313709917,6
SLC6A1,0.313720746,2
TTC21B,0.313905271,14
ENOSF1,0.314025877,3
SYBU,0.314038838,4
CA1,0.314177781,5
SLC46A1,0.314272206,3
ZBTB45,0.314275318,6
ZNF276,0.314369681,6
C9orf174,0.314523883,12
CLIC3,0.314555879,3
IGFN1,0.31465842,24
PRSS48,0.314695467,3
TUBGCP2,0.314727268,19
DLX3,0.314749015,2
NR1H4,0.314775415,5
AIM1L,0.314781807,5
PINX1,0.31482358,3
FAM65B,0.314833528,8
R3HDM1,0.314874197,7
RGS20,0.315036821,3
CMTM8,0.315152632,3
RERE,0.315212173,7
NAALAD2,0.315447073,8
OXTR,0.315603068,3
BNC2,0.315624815,9
SMEK1,0.315755544,2
CLEC3A,0.315889831,5
DACH1,0.315928074,4
CIDEB,0.315966167,7
TRMT13,0.316042649,3
AFF3,0.316098378,8
ARSA,0.316200148,4
CDH13,0.316338067,7
IGFL3,0.316433023,3
OR6Y1,0.316495742,9
C5orf45,0.316498358,4
ZNF750,0.316535191,4
IL12RB1,0.316800166,10
ZPBP2,0.316835586,4
TRIM60,0.316874025,3
TMPRSS11F,0.316875483,4
DNAJC9,0.316924073,2
PIK3CD,0.316985287,4
DBN1,0.31705867,3
NPAP1,0.317105504,18
ABCG5,0.317134223,6
TIGIT,0.317261221,5
GGN,0.317352828,5
DISC1,0.317517507,7
MASTL,0.317525317,7
FLNB,0.317696415,26
ACAA2,0.317879012,3
C1orf227,0.318120012,3
SLIT3,0.318152354,27
CEACAM5,0.318161302,4
REPIN1,0.318245681,4
PPP6R3,0.318291918,5
LRRC48,0.318405122,5
EFR3A,0.318517578,4
KCNA7,0.318564311,3
TUB,0.318821674,8
ARAP2,0.318839487,16
VCL,0.318874661,10
BACE2,0.319085063,3
PIGB,0.319089833,3
ZNF578,0.319295911,3
CLASP1,0.319296762,10
CASP4,0.319316076,9
TRPM2,0.31944059,44
C19orf60,0.319640595,2
POLD3,0.319691945,3
MAPK4,0.319761815,5
WNT2,0.319791155,4
PTPN4,0.319833716,4
ARMC5,0.320149812,3
ENDOU,0.320267843,9
ACRBP,0.3202908,8
RBAK,0.320345327,9
PPP1R1A,0.320521281,4
WDR7,0.320579547,5
TRAPPC6B,0.320704876,3
NUCB1,0.320749341,9
APEX1,0.321100467,5
ARHGAP1,0.321223425,2
LRIG1,0.32129101,25
RASAL2,0.321324324,7
HSD17B6,0.321487138,5
LMO7,0.32154092,23
FBXO39,0.321602882,10
GPATCH4,0.321737023,4
PLEKHS1,0.321786513,4
CDH22,0.321926976,2
UBE2T,0.322002519,2
MYH15,0.322122594,21
RNGTT,0.322180696,2
TAF1D,0.322250465,5
TCF7L1,0.322263208,3
HMX2,0.32231029,2
SAMD4B,0.322321442,2
SLC38A3,0.322332053,2
MTF1,0.322566094,2
CTAGE5,0.32262253,8
ACSM4,0.322826509,6
GUCA1A,0.322836909,5
KIF3C,0.322899282,4
ERGIC3,0.322975897,2
POLR1C,0.323183685,10
TOR4A,0.323379191,2
NR0B2,0.323385944,5
SLC10A5,0.323550767,5
C18orf34,0.323584246,6
NXPE4,0.323710052,6
IL37,0.323735865,4
WDR70,0.323835784,3
GIN1,0.323858192,3
CD36,0.32385849,20
TRNAU1AP,0.323870841,2
OR6N2,0.324088944,2
ACSBG2,0.324090251,7
TMEM52,0.324173367,2
SEC24B,0.324246436,8
RNF6,0.324358801,6
IFLTD1,0.324365211,6
RTP4,0.324367011,2
DLC1,0.324431775,13
FBXO10,0.324446864,10
NUDCD2,0.324494447,2
MRPL55,0.324535487,5
CLEC12B,0.324635752,3
ESPNL,0.324657108,8
ZNF829,0.324745015,2
ZFR2,0.324794408,12
VAV3,0.324944214,9
NOLC1,0.324967346,6
UBE2C,0.324978923,2
OTUD7B,0.325128205,4
ACAT2,0.325371294,2
CAP2,0.325387911,2
MTF2,0.325421333,2
ZNF563,0.325426438,2
CST7,0.325490813,2
ST8SIA5,0.325510235,5
PEX6,0.325593451,7
THG1L,0.325739856,2
DDX21,0.325763346,4
TAF5,0.32594416,2
LAMA3,0.325952557,44
RNASE7,0.32597474,3
KIAA0196,0.325980862,5
THTPA,0.326019604,2
ATOH8,0.326181264,2
ARHGEF5,0.326261883,2
LCLAT1,0.32632843,3
CIT,0.326452876,14
C11orf49,0.326510842,4
IFIT2,0.326554769,2
MMAA,0.326908572,3
INO80,0.32694582,6
ISX,0.326945896,3
NRXN2,0.327033875,9
FOXF1,0.327106942,2
ACOX3,0.327188053,16
PRRC2C,0.327410254,11
DHDDS,0.327451418,2
ADCY3,0.327701446,2
TNK2,0.327740441,5
EMID1,0.327751746,2
SLBP,0.328038163,2
AP1B1,0.328157156,4
MATN1,0.328172919,3
TRAPPC6A,0.32817315,2
SEC14L2,0.328287359,2
TEK,0.328374428,8
NF1,0.328499703,14
SHCBP1L,0.328569572,7
RFX5,0.328578968,5
KLHDC4,0.328792363,13
KRTAP27-1,0.328816197,2
HIP1R,0.328911905,18
ODF2,0.328928849,10
LRIT2,0.328956902,4
WBSCR22,0.328982226,6
TRIM37,0.328984277,7
TET3,0.329213615,11
NSRP1,0.329336058,5
KLHDC1,0.329349552,4
BCL9L,0.32935707,7
COPB1,0.329467099,5
CDC45,0.329480274,6
GALNT7,0.32950187,3
TBC1D10A,0.329587189,2
ZNRF3,0.329668704,2
FGD5,0.329788163,14
ALDH9A1,0.329878602,4
RABEPK,0.329921367,7
OR5L1,0.329963309,5
AKAP6,0.330190052,18
SOX30,0.330190963,5
PSRC1,0.330196836,5
TG,0.330229939,57
STAU1,0.330241744,2
ZNF471,0.330347529,4
TMEM74B,0.33041924,3
UNC13A,0.330461608,3
DFFA,0.33047679,4
FNDC3B,0.330489365,11
POLA2,0.330527962,4
ATP2C2,0.330650645,20
HSD17B13,0.330807119,7
CLDN14,0.330851548,6
FITM1,0.331001771,6
PPIP5K2,0.331237541,2
LRP1,0.331511713,22
CWF19L1,0.331706553,5
ACAT1,0.331765358,3
FANK1,0.33179678,4
ATM,0.331856483,26
NCOA1,0.331896984,4
FAM81B,0.332074503,6
KIAA1045,0.332249846,6
MS4A6A,0.332253021,2
SESN2,0.332253517,3
ATXN2,0.332375166,3
METTL17,0.332388921,5
NTSR2,0.332417544,9
SCMH1,0.332467592,4
C9orf96,0.332524086,9
OSCAR,0.33253401,4
WDR61,0.332618256,3
CA12,0.332659665,2
KYNU,0.332874364,5
FLT3,0.332905503,8
PCNX,0.333057651,21
SMARCD3,0.333437604,3
GPR153,0.33344538,4
ADAMTS14,0.333718765,20
PNPLA8,0.333721822,6
HSPBP1,0.333868251,2
OR10H3,0.333964437,3
HOXA-AS2,0.334260611,4
HOXA3,0.334260611,4
IFT140,0.334270732,27
ANO3,0.334295814,8
GPR98,0.334331246,74
DGKA,0.334491849,3
NUDT19,0.334552074,6
TMPRSS3,0.334568657,9
RNFT1,0.334601189,2
TBC1D3P1-DHX40P1,0.334601189,2
PRLH,0.334615547,3
SLA2,0.33464663,3
LALBA,0.334705047,4
AQP11,0.334853556,2
CLNS1A,0.334853556,2
LTA4H,0.334987826,5
TBC1D26,0.335064919,2
UGT1A1,0.335122596,7
TUBB6,0.335307854,3
SCN2B,0.335489066,2
TBX6,0.335536735,3
PAFAH1B3,0.335591946,2
FAM13B,0.335692096,4
HNMT,0.335693732,2
CEP44,0.335823196,8
RTDR1,0.33593453,10
MGRN1,0.33609433,2
FKBP6,0.336150425,3
FBXL14,0.336215154,2
EGFLAM-AS1,0.336221627,2
USP2,0.336260982,5
OXCT1,0.336279617,2
BPIFB3,0.33628908,8
IRS1,0.336486934,9
GRM5,0.336702097,2
GBA2,0.3368525,10
CYP4F11,0.337041461,4
TFB1M,0.337082075,8
MFSD7,0.337196154,7
SLC25A25,0.337204749,4
C11orf80,0.337471662,2
POLE,0.337543124,61
RTN2,0.337692616,3
SPACA1,0.3377373,2
PPP1R1B,0.337776716,4
PARN,0.337783138,9
DDX24,0.337879053,11
CC2D2B,0.337929266,2
ELOVL5,0.337955119,4
OR8J1,0.338132633,2
FANCI,0.33829036,14
ARHGAP31,0.338360679,14
FERD3L,0.338436684,2
GLDC,0.338505023,7
PTPDC1,0.338553489,6
SERPINB7,0.338586186,2
LAMB4,0.338609934,19
FABP6,0.338672333,4
PRRX2,0.338798977,3
TNFRSF21,0.338832172,6
SAMD11,0.33888253,14
PPIL4,0.339002565,4
WNT10A,0.339076518,3
LGR6,0.339123674,9
GCFC2,0.339162592,9
SEMA3F,0.339301798,4
NOX4,0.339499891,2
OR1N1,0.339642241,4
ALG9,0.339961975,7
CASR,0.340057881,3
TTC28-AS1,0.34005814,3
SEPSECS,0.34007192,2
MAX,0.340132658,3
EFCAB4A,0.34018667,3
CLASRP,0.340197106,4
UBR5,0.340280507,4
FAM63A,0.340358936,6
CENPL,0.340516337,3
SPIRE2,0.34064444,8
CBFA2T3,0.340658247,7
TCHH,0.340831063,13
GDPD3,0.341085023,8
GRIN3A,0.341322425,16
NMT2,0.341449831,6
ANKFY1,0.341502305,12
OR1L3,0.341698335,8
CDHR5,0.341768548,13
SLCO5A1,0.341926368,7
BEST1,0.342011288,8
ADAM21,0.342014332,5
MECR,0.342045977,4
HPS1,0.342053679,8
DCDC2,0.342143481,4
SLAMF1,0.342153394,6
AP5Z1,0.342390208,15
SLC39A4,0.342404841,12
CRYZ,0.342496635,3
ATR,0.342554091,13
PRSS51,0.342648959,5
PRSS55,0.342648959,5
KIAA1841,0.342719342,5
DCTN4,0.34305186,6
RCN3,0.343229974,3
GLB1L,0.343252337,10
GALNTL2,0.343305461,6
HYLS1,0.343315144,10
PUS3,0.343315144,10
BRI3BP,0.34335151,3
BBS1,0.343366357,4
UGGT2,0.343378237,11
TRIB1,0.343630851,2
ITGAX,0.343773586,11
TESPA1,0.343923655,10
TMOD4,0.344390757,3
THOP1,0.344499252,7
A4GALT,0.344591752,4
POLDIP3,0.344592971,3
KIAA0408,0.344657107,5
YJEFN3,0.34468177,3
HEYL,0.344796767,4
ZFP42,0.345168698,6
TXNDC8,0.345353951,6
ANKLE1,0.345512161,12
ABCB10,0.34562334,5
PTGDR,0.345644854,4
CORO1B,0.345653293,9
RFX8,0.345657022,4
GNAS-AS1,0.345690705,2
BACH2,0.34581921,8
DHX38,0.345939397,8
ZFYVE19,0.346034192,4
REM2,0.346118696,4
ZHX2,0.346123311,7
LRP12,0.34614513,5
PLEKHG2,0.346155225,19
SCRIB,0.346393271,10
ZG16B,0.346447275,3
VPS25,0.346485683,2
AUP1,0.346570825,2
GRAMD3,0.346660426,6
TSLP,0.346666139,2
ALS2CR11,0.346714381,4
C6orf162,0.346805847,3
AGPHD1,0.346823825,3
C16orf7,0.34682882,4
IL36RN,0.346904601,2
SYNDIG1,0.346948122,3
TTC40,0.347002082,15
YTHDC2,0.347092613,10
CDCA7L,0.347113884,4
LURAP1,0.347117087,2
NMD3,0.347125598,4
SIPA1,0.347136389,5
LRRC18,0.347157172,8
NOTCH2,0.347197332,11
MAF,0.347217529,2
KRT10,0.347277366,2
DTX3L,0.347296908,6
USP15,0.347429045,2
GLRA3,0.347431741,5
BCDIN3D,0.347479638,5
EPHA8,0.347526032,11
ZNF646,0.347538901,22
PRL,0.347618181,3
XCR1,0.347686454,2
PPP6R1,0.347888015,7
GLIS3,0.34791269,12
GLT8D2,0.348007345,7
GRB14,0.348034686,5
KLK15,0.34808816,5
CTTNBP2NL,0.348093861,3
CDH7,0.348119697,4
ADAM9,0.348132469,3
MYL5,0.348178531,4
C9orf84,0.348307733,9
CACNA1C,0.348342874,4
PVALB,0.348388792,3
TCEB2,0.348417459,2
SERPINA5,0.348469341,15
OR3A1,0.348560291,2
ATP6V1F,0.348648501,3
SLC35A3,0.348660924,2
C5orf4,0.348870045,3
NOL7,0.348964385,2
THEM5,0.348987078,2
BRD1,0.349044509,4
GPBAR1,0.349062569,2
FAM5C,0.349162794,3
ZNF124,0.349351722,3
FBXO47,0.349367184,2
PPIL6,0.349421467,3
B3GNT5,0.349501482,6
FAM71E2,0.349544001,7
PCSK2,0.349573658,3
GPR15,0.349664177,7
LRRCC1,0.34966939,9
OVGP1,0.349773036,3
OR5M11,0.349949946,6
OSBPL8,0.350010595,3
ENOX1,0.350113962,5
TUBGCP3,0.350185094,6
DNAH10OS,0.350205163,8
SERPINA1,0.350209615,5
PFAS,0.350361172,16
ARAP3,0.350468875,26
WDR36,0.350480865,12
APOLD1,0.350559902,4
FCAR,0.350568741,3
ASAP1,0.350665504,4
STARD3,0.350681329,6
GOSR2,0.35086508,2
CARD9,0.351068025,9
ERCC1,0.35115447,8
SIL1,0.351254266,4
PHTF2,0.35131612,3
TMEM106A,0.351586366,4
CATSPER1,0.351747589,10
C22orf15,0.351854144,3
MGAT1,0.352019492,4
AARS,0.352072411,6
MTG1,0.35212851,5
ADAT1,0.352138323,7
FHOD3,0.352228647,12
MAMDC4,0.352315048,21
EXTL3,0.352383772,8
PINK1-AS,0.352435065,9
DLG1,0.352478436,8
MMP24,0.352563521,6
MT1P3,0.352563521,6
TIGD7,0.352639469,2
SOGA3,0.352646584,6
OR13J1,0.352754852,5
RINL,0.352758685,3
AHCY,0.352789524,3
OSBPL5,0.352817775,8
TRRAP,0.352895647,19
GUCA1B,0.352978879,4
AGFG1,0.352988241,2
MRC2,0.352991266,15
SLC52A1,0.353151898,4
EEPD1,0.353175208,7
TMEM143,0.353242481,7
STK25,0.35338381,2
SLC30A3,0.353391272,5
TMEM48,0.353394911,4
TFB2M,0.353437792,5
ACBD5,0.353440516,7
CHRNB4,0.353499627,5
PARP4,0.353627382,11
SELL,0.353649391,3
DNAJA3,0.353830407,8
NBAS,0.353903349,20
HELZ,0.353941535,10
CYB5R2,0.354131306,5
PIBF1,0.354178982,6
CDC37,0.354233824,2
FNDC3A,0.354363202,6
CCDC17,0.354381103,2
B3GNT2,0.354417944,2
PKD1,0.354464501,9
NRP2,0.354503262,10
SSFA2,0.354529718,18
ZAR1,0.354565325,4
KLHL31,0.354567185,7
MYBBP1A,0.354653316,28
ST14,0.354663453,11
ZNF575,0.354861987,2
MATN4,0.354996454,12
CTNNA1,0.355090041,6
ZNF287,0.355120035,2
PTPRZ1,0.355280466,14
MCAM,0.355334019,3
BZRAP1-AS1,0.355348996,10
ABCC10,0.355379163,17
HTR7,0.355418016,2
CALB2,0.355438273,2
IRF1,0.355443207,2
FTH1,0.355542994,6
KPNA2,0.355592408,2
CD163L1,0.355616965,14
TBC1D14,0.355708071,6
ZNF530,0.355721564,8
RFWD2,0.35591416,5
ZFP90,0.355928604,3
SYT13,0.356006358,3
ANKRD10,0.356160815,4
GPR137B,0.356199818,7
EMILIN3,0.356257998,12
THAP10,0.356326171,3
APOC2,0.356369379,5
APOC4,0.356369379,5
CORIN,0.356489135,9
NAT10,0.356506215,5
C14orf45,0.356520068,8
SPAG9,0.356624073,7
GALC,0.356769145,7
C7orf34,0.356792795,4
NUP88,0.35688466,7
SMTN,0.357016018,11
LHPP,0.357093541,9
SYNRG,0.357178377,9
GPR37L1,0.357237645,2
ZNF418,0.357337288,7
GPR180,0.357348683,3
TRMT2A,0.357446057,5
ZNF431,0.357551647,2
RAP1GAP2,0.357641619,3
NISCH,0.357729101,9
LRRTM1,0.357746027,4
SRFBP1,0.357758281,8
CHCHD4,0.357822934,2
C15orf53,0.358273465,2
NEK5,0.35831667,11
ZW10,0.358459842,9
LGALS9,0.358630365,3
CCNA1,0.358710625,2
IFIT3,0.358896342,7
NMUR1,0.358929593,3
SLC7A11,0.35905057,6
KIF2B,0.359085597,6
HAGH,0.359147994,5
ARHGAP40,0.359157052,8
HSBP1,0.359175776,2
DDX19B,0.359205337,2
KLHL32,0.359237328,4
PSMD7,0.359249925,4
CSHL1,0.359266611,5
CNGB3,0.35926696,11
SLC22A4,0.359372918,3
PPY,0.359386454,3
RNASE13,0.359401866,3
OR5P3,0.359403865,8
PIK3C3,0.359446049,2
C11orf35,0.359450342,8
AP4S1,0.35947713,3
OR4C12,0.35948321,4
WTIP,0.359557743,2
ZKSCAN2,0.359603597,13
MLKL,0.359642336,6
SCN9A,0.359682813,12
COMMD8,0.359690899,3
POLD2,0.359695651,2
ALDH3A2,0.359750098,3
PFN4,0.359898759,2
LMF1,0.359929444,9
C2orf53,0.35997292,7
SLC35C1,0.359980958,3
CES5A,0.360246303,17
PTGFR,0.360259183,4
SOX7,0.360354425,4
ZNF343,0.360371352,4
TAAR1,0.360450289,6
DNAH10,0.360451527,57
MAPK15,0.360539908,6
PARD3B,0.360577065,14
TPMT,0.360582514,4
TMEM11,0.360624663,2
SCPEP1,0.360706841,3
ADAMTS3,0.360934434,15
SGPL1,0.361091678,7
IRF4,0.361119224,6
RIMS3,0.361286985,2
HEATR2,0.361293799,11
AP5M1,0.361359242,5
FNDC5,0.361436563,2
ATP5A1,0.361462686,4
FECH,0.361472307,5
DTNB,0.361488702,9
RSRC1,0.361592646,2
SEC16B,0.361778444,18
MACF1,0.361791611,69
TRAF4,0.361985108,4
ADORA3,0.362055417,4
TSSK2,0.362507674,3
TLE1,0.362611431,4
DEM1,0.362698109,4
ZNF607,0.362739798,6
ACSM1,0.36278074,14
RMND1,0.362821777,6
KIAA0368,0.363061762,5
FLG2,0.36324137,17
LIPE,0.363348636,17
TRPV2,0.363372888,5
SELP,0.363556333,18
SSBP1,0.363869587,8
ZNF281,0.363989433,2
